"Project","Description","Task","Group","Tags","Type","Start Date","Start Time","End Date","End Time","Duration (h)","Duration (decimal)","Date of creation"
"ポートフォリオ管理","","","","","Regular","03/11/2025","21:36:16","03/11/2025","21:41:23","00:05:07","0.09","03/11/2025"
"TakumiAI","","","","","Regular","03/11/2025","20:37:03","03/11/2025","21:43:42","01:06:39","1.11","03/11/2025"
"ポートフォリオ管理","","","","","Regular","03/11/2025","17:18:32","03/11/2025","17:58:32","00:40:00","0.67","03/11/2025"
"ポートフォリオ管理","","","","","Regular","03/11/2025","16:40:07","03/11/2025","18:20:07","01:40:00","1.67","03/11/2025"
"ポートフォリオ管理","","","","","Regular","03/11/2025","03:30:55","03/11/2025","04:30:55","01:00:00","1.00","03/11/2025"
"ポートフォリオ管理","","","","","Regular","03/11/2025","01:10:44","03/11/2025","02:10:44","01:00:00","1.00","03/11/2025"
"ポートフォリオ管理","","","","","Regular","02/11/2025","23:49:54","03/11/2025","00:49:54","01:00:00","1.00","02/11/2025"
"ポートフォリオ管理","","","","","Regular","02/11/2025","21:29:21","02/11/2025","22:41:35","01:12:14","1.20","02/11/2025"
"ポートフォリオ管理","","","","","Regular","02/11/2025","21:29:15","02/11/2025","21:29:21","00:00:06","0.00","02/11/2025"
"ポートフォリオ管理","","","","","Regular","02/11/2025","19:34:55","02/11/2025","20:22:05","00:47:10","0.79","02/11/2025"
"現職関連","","","","","Regular","02/11/2025","12:41:11","02/11/2025","14:41:11","02:00:00","2.00","02/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","19:56:21","01/11/2025","20:40:21","00:44:00","0.73","01/11/2025"
"TakumiAI","","","","","Regular","01/11/2025","18:21:24","01/11/2025","18:51:28","00:30:04","0.50","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","14:29:22","01/11/2025","14:29:30","00:00:08","0.00","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","12:58:59","01/11/2025","13:30:43","00:31:44","0.53","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","10:42:15","01/11/2025","11:18:52","00:36:37","0.61","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","10:04:34","01/11/2025","10:24:56","00:20:22","0.34","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","10:04:14","01/11/2025","10:04:34","00:00:20","0.01","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","10:04:10","01/11/2025","10:04:14","00:00:04","0.00","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","10:04:07","01/11/2025","10:04:10","00:00:03","0.00","01/11/2025"
"ポートフォリオ管理","","","","","Regular","01/11/2025","10:03:21","01/11/2025","10:23:21","00:20:00","0.33","01/11/2025"
"TakumiAI","","","","","Regular","31/10/2025","20:37:49","31/10/2025","21:14:17","00:36:28","0.61","31/10/2025"
"現職関連","","","","","Regular","31/10/2025","04:13:53","31/10/2025","06:13:53","02:00:00","2.00","31/10/2025"
"TakumiAI","","","","","Regular","30/10/2025","21:21:09","30/10/2025","22:19:06","00:57:57","0.97","30/10/2025"
"ポートフォリオ管理","","","","","Regular","29/10/2025","20:59:20","29/10/2025","22:59:20","02:00:00","2.00","29/10/2025"
"ポートフォリオ管理","","","","","Regular","29/10/2025","20:57:10","29/10/2025","23:57:10","03:00:00","3.00","29/10/2025"
"ポートフォリオ管理","","","","","Regular","28/10/2025","20:58:50","28/10/2025","21:58:50","01:00:00","1.00","29/10/2025"
"ポートフォリオ管理","","","","","Regular","27/10/2025","20:57:44","27/10/2025","23:57:44","03:00:00","3.00","29/10/2025"
"ポートフォリオ管理","","","","","Regular","26/10/2025","20:56:15","27/10/2025","01:56:15","05:00:00","5.00","29/10/2025"
"現職関連","","","","","Regular","25/10/2025","20:54:56","26/10/2025","02:54:56","06:00:00","6.00","29/10/2025"
